Date,Open,High,Low,Close,Adj Close,Volume
2023-03-06,1365.829956,1372.819946,1363.449951,1367.270020,1367.270020,146665700
2023-03-07,1366.160034,1369.349976,1356.189941,1356.719971,1356.719971,153604500
2023-03-08,1355.849976,1359.229980,1350.770020,1356.359985,1356.359985,161600800
2023-03-09,1355.079956,1356.959961,1344.859985,1353.099976,1353.099976,146774900
2023-03-10,1348.859985,1348.859985,1327.109985,1337.469971,1337.469971,224050000
2023-03-13,1337.689941,1337.689941,1294.119995,1303.229980,1303.229980,308011500
2023-03-14,1303.310059,1328.000000,1299.369995,1324.280029,1324.280029,235895700
2023-03-15,1323.520020,1323.520020,1277.810059,1281.209961,1281.209961,378979200
2023-03-16,1284.729980,1308.359985,1276.209961,1302.930054,1302.930054,308540800
2023-03-17,1304.770020,1320.520020,1283.579956,1289.390015,1289.390015,515610000
2023-03-20,1288.390015,1309.209961,1266.599976,1303.560059,1303.560059,284804200
2023-03-21,1304.719971,1327.910034,1304.719971,1319.260010,1319.260010,214621600
2023-03-22,1319.270020,1329.479980,1315.500000,1325.339966,1325.339966,172443500
2023-03-23,1324.560059,1331.630005,1316.859985,1329.530029,1329.530029,170632600
2023-03-24,1328.150024,1328.150024,1298.770020,1307.699951,1307.699951,270627100
2023-03-27,1308.560059,1324.609985,1308.560059,1316.250000,1316.250000,184422100
2023-03-28,1318.420044,1329.520020,1313.699951,1317.689941,1317.689941,163867400
2023-03-29,1318.040039,1338.979980,1318.040039,1337.569946,1337.569946,171921100
2023-03-30,1337.569946,1354.880005,1337.569946,1350.530029,1350.530029,175670800
2023-03-31,1350.869995,1363.069946,1350.170044,1360.260010,1360.260010,189953200
2023-04-03,1360.890015,1368.339966,1360.589966,1365.459961,1365.459961,168317900
2023-04-04,1366.540039,1373.540039,1363.109985,1363.599976,1363.599976,161621300
2023-04-05,1363.290039,1364.329956,1354.119995,1357.459961,1357.459961,161392500
2023-04-06,1357.849976,1361.599976,1355.939941,1359.079956,1359.079956,152472900
2023-04-11,1360.609985,1369.699951,1360.609985,1367.949951,1367.949951,168439400
2023-04-12,1366.890015,1377.819946,1360.790039,1363.780029,1363.780029,152905800
2023-04-13,1368.449951,1376.800049,1368.250000,1376.310059,1376.310059,141102700
2023-04-14,1376.479980,1384.410034,1376.479980,1381.520020,1381.520020,172191300
2023-04-17,1382.500000,1386.869995,1378.030029,1378.380005,1378.380005,161917000
2023-04-18,1378.699951,1387.989990,1378.699951,1383.420044,1383.420044,158245000
2023-04-19,1383.109985,1384.189941,1380.189941,1383.209961,1383.209961,152248600
2023-04-20,1382.959961,1383.369995,1376.579956,1382.560059,1382.560059,154710900
2023-04-21,1381.150024,1387.819946,1378.099976,1387.709961,1387.709961,176743400
2023-04-24,1386.079956,1388.530029,1380.949951,1386.400024,1386.400024,150835100
2023-04-25,1384.920044,1384.920044,1373.790039,1376.869995,1376.869995,169649200
2023-04-26,1375.270020,1375.270020,1358.709961,1365.770020,1365.770020,199265900
2023-04-27,1365.339966,1371.400024,1361.339966,1368.699951,1368.699951,181013300
2023-04-28,1369.119995,1373.189941,1356.199951,1372.900024,1372.900024,208928800
2023-05-02,1373.310059,1376.589966,1352.150024,1353.219971,1353.219971,364082900
2023-05-03,1353.540039,1361.079956,1353.540039,1355.390015,1355.390015,298858700
2023-05-04,1355.089966,1356.469971,1344.500000,1350.260010,1350.260010,364074100
2023-05-05,1351.369995,1369.010010,1351.369995,1368.819946,1368.819946,358443300
2023-05-08,1369.069946,1375.750000,1367.819946,1372.869995,1372.869995,222789400
2023-05-09,1372.060059,1372.060059,1357.160034,1363.099976,1363.099976,275120600
2023-05-10,1362.569946,1367.640015,1356.810059,1360.260010,1360.260010,329415500
2023-05-11,1360.689941,1371.069946,1352.739990,1360.839966,1360.839966,320912400
2023-05-12,1360.790039,1373.050049,1360.790039,1366.849976,1366.849976,275129400
2023-05-15,1366.890015,1373.890015,1365.199951,1369.540039,1369.540039,221813900
2023-05-16,1369.150024,1372.189941,1362.670044,1366.420044,1366.420044,259892700
2023-05-17,1366.060059,1369.439941,1358.810059,1366.810059,1366.810059,259457100
2023-05-18,1366.660034,1378.989990,1366.660034,1374.469971,1374.469971,295925600
2023-05-19,1374.780029,1386.640015,1374.780029,1380.619995,1380.619995,343420300
2023-05-22,1379.689941,1381.489990,1374.709961,1378.989990,1378.989990,280713800
2023-05-23,1378.510010,1378.510010,1366.469971,1366.469971,1366.469971,235794000
2023-05-24,1365.079956,1365.079956,1339.640015,1344.500000,1344.500000,389323200
2023-05-25,1343.949951,1349.030029,1339.329956,1340.949951,1340.949951,308289300
2023-05-26,1341.660034,1360.760010,1338.739990,1357.770020,1357.770020,294848400
2023-05-29,1357.739990,1362.880005,1352.219971,1353.390015,1353.390015,164844400
2023-05-30,1352.609985,1353.729980,1336.219971,1338.140015,1338.140015,296475300
2023-05-31,1336.540039,1336.540039,1316.280029,1318.319946,1318.319946,972706600
2023-06-01,1319.430054,1332.869995,1319.430054,1328.300049,1328.300049,291311900
2023-06-02,1328.310059,1352.280029,1328.310059,1351.290039,1351.290039,299136200
2023-06-05,1351.239990,1355.349976,1341.359985,1342.410034,1342.410034,257467500
2023-06-06,1342.180054,1344.560059,1334.750000,1343.270020,1343.270020,262248000
2023-06-07,1343.119995,1347.050049,1337.900024,1344.060059,1344.060059,270204100
2023-06-08,1342.119995,1348.410034,1340.069946,1346.989990,1346.989990,278166900
2023-06-09,1347.819946,1350.640015,1340.619995,1345.810059,1345.810059,230870600
2023-06-12,1346.459961,1356.089966,1346.459961,1350.479980,1350.479980,255427900
2023-06-13,1350.829956,1363.699951,1350.790039,1361.510010,1361.510010,287352700
2023-06-14,1361.400024,1372.349976,1360.099976,1368.319946,1368.319946,333024000
2023-06-15,1367.079956,1367.699951,1357.300049,1365.989990,1365.989990,286509500
2023-06-16,1366.280029,1379.989990,1366.280029,1376.189941,1376.189941,705549200
2023-06-19,1374.250000,1374.250000,1362.359985,1363.979980,1363.979980,262966900
