Date,Open,High,Low,Close,Adj Close,Volume
2014-03-05,825.719971,828.469971,824.280029,826.539978,826.539978,194370400
2014-03-06,829.260010,833.090027,828.309998,830.789978,830.789978,239615300
2014-03-07,830.460022,832.619995,821.960022,822.349976,822.349976,257854000
2014-03-10,823.030029,830.630005,818.869995,822.770020,822.770020,214219300
2014-03-11,825.349976,826.530029,819.849976,821.380005,821.380005,184563900
2014-03-12,816.450012,817.409973,808.150024,813.650024,813.650024,219167700
2014-03-13,814.840027,815.580017,803.729980,803.729980,803.729980,216093000
2014-03-14,798.150024,800.299988,790.830017,796.979980,796.979980,339900500
2014-03-17,796.969971,806.780029,796.349976,806.020020,806.020020,194449000
2014-03-18,804.859985,817.559998,802.210022,813.250000,813.250000,220472900
2014-03-19,813.400024,815.530029,809.750000,812.369995,812.369995,191205800
2014-03-20,807.179993,815.500000,804.599976,815.500000,815.500000,258501600
2014-03-21,816.469971,819.700012,814.750000,816.859985,816.859985,401863500
2014-03-24,816.020020,817.280029,806.140015,807.890015,807.890015,244606700
2014-03-25,810.179993,819.460022,810.179993,818.559998,818.559998,226503800
2014-03-26,820.580017,827.630005,819.859985,825.789978,825.789978,203180500
2014-03-27,823.950012,827.219971,822.169983,826.630005,826.630005,229061200
2014-03-28,829.669983,833.369995,829.349976,833.369995,833.369995,210617000
2014-03-31,836.229980,837.340027,831.190002,831.469971,831.469971,197376900
2014-04-01,834.429993,840.039978,832.989990,838.320007,838.320007,219086600
2014-04-02,838.710022,840.200012,837.500000,838.919983,838.919983,197077300
2014-04-03,838.950012,844.030029,836.419983,840.979980,840.979980,203224700
2014-04-04,842.719971,847.710022,840.289978,845.919983,845.919983,220855400
2014-04-07,839.559998,841.770020,836.900024,837.659973,837.659973,212189600
2014-04-08,838.340027,839.179993,827.830017,833.789978,833.789978,279082600
2014-04-09,835.460022,839.659973,834.659973,837.710022,837.710022,187905500
2014-04-10,840.710022,842.330017,832.429993,833.179993,833.179993,190936100
2014-04-11,826.559998,827.390015,818.750000,823.590027,823.590027,260153400
2014-04-14,819.880005,826.150024,815.799988,826.150024,826.150024,256221000
2014-04-15,826.619995,830.340027,820.469971,820.539978,820.539978,236430600
2014-04-16,827.950012,831.219971,825.179993,831.219971,831.219971,231932900
2014-04-17,831.539978,834.989990,828.159973,834.840027,834.840027,226404800
2014-04-22,836.570007,843.469971,835.609985,842.450012,842.450012,212974900
2014-04-23,841.770020,841.849976,836.919983,837.309998,837.309998,204409100
2014-04-24,841.820007,843.840027,833.929993,840.690002,840.690002,269404100
2014-04-25,837.750000,839.070007,831.460022,833.640015,833.640015,190492400
2014-04-28,837.369995,839.059998,833.190002,836.059998,836.059998,169862300
2014-04-29,838.599976,842.840027,834.809998,842.809998,842.809998,209974700
2014-04-30,842.359985,843.380005,838.729980,841.510010,841.510010,268659300
2014-05-01,null,null,null,null,null,null
2014-05-02,839.909973,842.099976,836.000000,837.739990,837.739990,286049300
2014-05-05,834.849976,837.369995,826.549988,836.659973,836.659973,173277000
2014-05-06,838.419983,839.039978,830.429993,832.049988,832.049988,234650200
2014-05-07,829.059998,836.960022,828.469971,836.010010,836.010010,263202900
2014-05-08,837.809998,846.309998,835.559998,846.169983,846.169983,252048600
